m_ticker,ticker,comp_name,exchange,currency_code,Date,rating_cnt_strong_buys,rating_cnt_mod_buys,rating_cnt_holds,rating_cnt_mod_sells,rating_cnt_strong_sells,rating_mean_recom,rating_cnt_with,rating_cnt_without
ITL,INTC,Intel,NASDAQ,USD,2018-01-30,15,2,6,1,2,2,26,0
ITL,INTC,Intel,NASDAQ,USD,2018-03-02,15,2,6,1,1,1.8,25,0
ITL,INTC,Intel,NASDAQ,USD,2018-03-15,15,2,5,1,1,1.8,24,0
ITL,INTC,Intel,NASDAQ,USD,2018-03-16,15,2,6,1,1,1.8,25,0
ITL,INTC,Intel,NASDAQ,USD,2018-03-26,15,2,7,1,0,1.8,25,0
ITL,INTC,Intel,NASDAQ,USD,2018-04-04,14,2,8,1,0,1.8,25,0
ITL,INTC,Intel,NASDAQ,USD,2018-04-05,15,3,8,1,0,1.8,27,0
ITL,INTC,Intel,NASDAQ,USD,2018-04-27,15,3,9,1,0,1.9,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-04-30,15,2,9,1,0,1.9,27,0
ITL,INTC,Intel,NASDAQ,USD,2018-05-17,15,2,10,1,0,1.9,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-06-18,15,2,9,1,1,2,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-06-19,14,2,9,1,1,2,27,0
ITL,INTC,Intel,NASDAQ,USD,2018-06-20,15,2,9,1,1,2,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-06-25,14,2,10,1,1,2,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-06-26,14,2,10,1,2,2.1,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-07-11,14,2,10,0,2,2.1,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-07-16,14,2,10,1,2,2.1,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-07-27,12,2,12,1,2,2.3,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-08-06,11,2,13,1,2,2.3,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-08-20,10,2,13,1,2,2.4,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-09-03,10,1,13,1,2,2.4,27,0
ITL,INTC,Intel,NASDAQ,USD,2018-09-13,10,1,14,1,1,2.3,27,0
ITL,INTC,Intel,NASDAQ,USD,2018-09-24,10,1,15,1,1,2.4,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-09-25,10,1,14,1,2,2.4,28,0
ITL,INTC,Intel,NASDAQ,USD,2018-10-01,10,1,14,1,3,2.5,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-10-22,11,1,13,1,3,2.4,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-10-26,12,2,13,1,3,2.4,31,0
ITL,INTC,Intel,NASDAQ,USD,2018-10-29,11,2,12,1,3,2.4,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-12-04,11,2,11,1,4,2.5,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-12-17,12,2,11,1,4,2.4,30,0
ITL,INTC,Intel,NASDAQ,USD,2018-12-20,12,2,10,1,4,2.4,29,0
ITL,INTC,Intel,NASDAQ,USD,2018-12-21,12,2,11,1,4,2.4,30,0
ITL,INTC,Intel,NASDAQ,USD,2018-12-27,11,2,11,1,4,2.5,29,0
