m_ticker,ticker,comp_name,exchange,currency_code,Date,rating_cnt_strong_buys,rating_cnt_mod_buys,rating_cnt_holds,rating_cnt_mod_sells,rating_cnt_strong_sells,rating_mean_recom,rating_cnt_with,rating_cnt_without
NIKE,NKE,NIKE,NYSE,USD,2018-01-05,10,1,14,1,0,2.2,26,0
NIKE,NKE,NIKE,NYSE,USD,2018-01-08,11,1,14,1,0,2.2,27,0
NIKE,NKE,NIKE,NYSE,USD,2018-01-19,12,1,13,1,0,2.1,27,0
NIKE,NKE,NIKE,NYSE,USD,2018-01-22,11,1,13,1,0,2.2,26,0
NIKE,NKE,NIKE,NYSE,USD,2018-01-31,12,1,13,1,0,2.1,27,0
NIKE,NKE,NIKE,NYSE,USD,2018-04-30,12,1,12,1,0,2.1,26,0
NIKE,NKE,NIKE,NYSE,USD,2018-05-04,11,1,12,1,0,2.1,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-05-17,10,1,12,1,0,2.2,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-06-21,10,1,13,1,0,2.2,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-06-22,9,1,14,1,0,2.3,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-06-25,8,1,14,1,0,2.3,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-06-26,9,1,14,1,0,2.3,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-07-20,9,1,13,1,0,2.3,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-07-30,9,1,12,1,0,2.2,23,0
NIKE,NKE,NIKE,NYSE,USD,2018-07-31,9,1,13,1,0,2.3,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-08-01,9,2,13,1,0,2.2,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-08-20,11,2,11,1,0,2.1,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-09-11,12,2,10,1,0,2,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-09-13,11,2,10,1,0,2,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-09-20,11,2,10,0,0,1.9,23,0
NIKE,NKE,NIKE,NYSE,USD,2018-09-21,11,2,10,1,0,2,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-09-26,12,2,10,1,0,2,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-10-18,13,2,9,1,0,1.9,25,0
NIKE,NKE,NIKE,NYSE,USD,2018-12-17,12,2,9,1,0,1.9,24,0
NIKE,NKE,NIKE,NYSE,USD,2018-12-21,14,2,7,1,0,1.8,24,0
