m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,obs_date,rating_cnt_strong_buys,rating_cnt_mod_buys,rating_cnt_holds,rating_cnt_mod_sells,rating_cnt_strong_sells,rating_mean_recom,rating_cnt_with,rating_cnt_without
WMS,WMT,Walmart,,NYSE,USD,2018-12-05,12,1,9,0,0,1.9,22,0
WMS,WMT,Walmart,,NYSE,USD,2018-11-30,12,1,10,0,0,1.9,23,0
WMS,WMT,Walmart,,NYSE,USD,2018-11-12,12,1,11,0,0,2.0,24,0
WMS,WMT,Walmart,,NYSE,USD,2018-10-09,12,1,12,0,0,2.0,25,0
WMS,WMT,Walmart,,NYSE,USD,2018-09-18,11,1,13,0,0,2.1,25,0
WMS,WMT,Walmart,,NYSE,USD,2018-09-04,10,1,13,0,0,2.1,24,0
WMS,WMT,Walmart,,NYSE,USD,2018-08-17,9,1,13,0,0,2.2,23,0
WMS,WMT,Walmart,,NYSE,USD,2018-08-13,9,0,13,0,0,2.2,22,0
WMS,WMT,Walmart,,NYSE,USD,2018-08-10,9,0,12,0,0,2.1,21,0
WMS,WMT,Walmart,,NYSE,USD,2018-08-06,10,0,12,0,0,2.1,22,0
WMS,WMT,Walmart,,NYSE,USD,2018-08-03,10,0,13,0,0,2.1,23,0
WMS,WMT,Walmart,,NYSE,USD,2018-05-21,11,0,13,0,0,2.1,24,0
WMS,WMT,Walmart,,NYSE,USD,2018-05-11,11,0,14,0,0,2.1,25,0
WMS,WMT,Walmart,,NYSE,USD,2018-04-30,10,0,14,0,0,2.2,24,0
WMS,WMT,Walmart,,NYSE,USD,2018-04-19,11,0,14,0,0,2.1,25,0
WMS,WMT,Walmart,,NYSE,USD,2018-04-06,10,0,14,0,0,2.2,24,0
WMS,WMT,Walmart,,NYSE,USD,2018-03-02,10,0,13,0,0,2.1,23,0
WMS,WMT,Walmart,,NYSE,USD,2018-02-21,11,0,12,0,0,2.0,23,0
WMS,WMT,Walmart,,NYSE,USD,2018-02-12,10,0,11,0,0,2.0,21,0
WMS,WMT,Walmart,,NYSE,USD,2018-02-07,11,0,11,0,0,2.0,22,0
WMS,WMT,Walmart,,NYSE,USD,2018-01-31,11,0,12,0,0,2.0,23,0
VISA,V,Visa,,NYSE,USD,2018-11-15,23,2,1,0,0,1.2,26,0
VISA,V,Visa,,NYSE,USD,2018-10-29,22,2,1,0,0,1.2,25,0
VISA,V,Visa,,NYSE,USD,2018-10-19,23,2,1,0,0,1.2,26,0
VISA,V,Visa,,NYSE,USD,2018-07-25,25,2,1,0,0,1.1,28,0
VISA,V,Visa,,NYSE,USD,2018-07-24,24,2,1,0,0,1.1,27,0
VISA,V,Visa,,NYSE,USD,2018-07-23,23,1,1,0,0,1.1,25,0
VISA,V,Visa,,NYSE,USD,2018-07-19,24,1,1,0,0,1.1,26,0
VISA,V,Visa,,NYSE,USD,2018-07-18,23,2,1,0,0,1.1,26,0
